MS.SubClass,MS.Zoning,Lot.Frontage,Lot.Area,Lot.Shape,Land.Contour,Lot.Config,Land.Slope,Neighborhood,Bldg.Type,House.Style,Overall.Qual,Overall.Cond,Roof.Style,Mas.Vnr.Type,Mas.Vnr.Area,Exter.Qual,Exter.Cond,Foundation,Bsmt.Qual,Bsmt.Cond,Bsmt.Exposure,BsmtFin.Type.1,BsmtFin.SF.1,BsmtFin.Type.2,BsmtFin.SF.2,Bsmt.Unf.SF,Total.Bsmt.SF,Heating.QC,Central.Air,Electrical,X1st.Flr.SF,X2nd.Flr.SF,Low.Qual.Fin.SF,Gr.Liv.Area,Bsmt.Full.Bath,Bsmt.Half.Bath,Full.Bath,Half.Bath,Bedroom.AbvGr,Kitchen.AbvGr,Kitchen.Qual,TotRms.AbvGrd,Functional,Fireplaces,Garage.Type,Garage.Finish,Garage.Cars,Garage.Area,Paved.Drive,Wood.Deck.SF,Open.Porch.SF,Enclosed.Porch,X3Ssn.Porch,Screen.Porch,Pool.Area,Fence,Misc.Val,Mo.Sold,Yr.Sold,Sale.Type,Sale.Condition,SalePrice,Condition,HasShed,HasAlley,Exterior,Garage_Quality,Exterior_Quality,Garage.Age,Remod.Age,House.Age
20,RL,141.0,31770.0,IR1,Lvl,Corner,Gtl,NAmes,1Fam,1Story,6,5,Hip,Stone,112.0,TA,TA,CBlock,TA,Gd,Gd,BLQ,639.0,Unf,0.0,441.0,1080.0,Fa,Y,SBrkr,1656.0,0.0,0.0,1656.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,7.0,Typ,2.0,Attchd,Fin,2.0,528.0,P,210.0,62.0,0.0,0.0,0.0,0.0,NoFence,0.0,5.0,2010.0,GroupedWD,Normal,5.332438459915605,Norm,False,False,BrkFace,TA_TA,TA_TA,50.0,50.0,50.0
20,RH,80.0,11622.0,Reg,Lvl,Inside,Gtl,NAmes,1Fam,1Story,5,6,Gable,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,468.0,LwQ,144.0,270.0,882.0,TA,Y,SBrkr,896.0,0.0,0.0,896.0,0.0,0.0,1.0,0.0,2.0,1.0,TA,5.0,Typ,0.0,Attchd,Unf,1.0,730.0,Y,140.0,0.0,0.0,0.0,120.0,0.0,MnPrv,0.0,6.0,2010.0,GroupedWD,Normal,5.021189299069938,Roads,False,False,VinylSd,TA_TA,TA_TA,49.0,49.0,49.0
20,RL,81.0,14267.0,IR1,Lvl,Corner,Gtl,NAmes,1Fam,1Story,6,6,Hip,BrkFace,108.0,TA,TA,CBlock,TA,TA,No,ALQ,923.0,Unf,0.0,406.0,1329.0,TA,Y,SBrkr,1329.0,0.0,0.0,1329.0,0.0,0.0,1.0,1.0,3.0,1.0,Gd,6.0,Typ,0.0,Attchd,Unf,1.0,312.0,Y,393.0,36.0,0.0,0.0,0.0,0.0,NoFence,12500.0,6.0,2010.0,GroupedWD,Normal,5.235528446907549,Norm,False,False,Wd Sdng,TA_TA,TA_TA,52.0,52.0,52.0
20,RL,93.0,11160.0,Reg,Lvl,Corner,Gtl,NAmes,1Fam,1Story,7,5,Hip,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,1065.0,Unf,0.0,1045.0,2110.0,Ex,Y,SBrkr,2110.0,0.0,0.0,2110.0,1.0,0.0,2.0,1.0,3.0,1.0,Ex,8.0,Typ,2.0,Attchd,Fin,2.0,522.0,Y,0.0,0.0,0.0,0.0,0.0,0.0,NoFence,0.0,4.0,2010.0,GroupedWD,Normal,5.38738982633873,Norm,False,False,BrkFace,TA_TA,Gd_TA,42.0,42.0,42.0
60,RL,74.0,13830.0,IR1,Lvl,Inside,Gtl,Gilbert,1Fam,2Story,5,5,Gable,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,791.0,Unf,0.0,137.0,928.0,Gd,Y,SBrkr,928.0,701.0,0.0,1629.0,0.0,0.0,2.0,1.0,3.0,1.0,TA,6.0,Typ,1.0,Attchd,Fin,2.0,482.0,Y,212.0,34.0,0.0,0.0,0.0,0.0,MnPrv,0.0,3.0,2010.0,GroupedWD,Normal,5.278524964737017,Norm,False,False,VinylSd,TA_TA,TA_TA,13.0,12.0,13.0
60,RL,78.0,9978.0,IR1,Lvl,Inside,Gtl,Gilbert,1Fam,2Story,6,6,Gable,BrkFace,20.0,TA,TA,PConc,TA,TA,No,GLQ,602.0,Unf,0.0,324.0,926.0,Ex,Y,SBrkr,926.0,678.0,0.0,1604.0,0.0,0.0,2.0,1.0,3.0,1.0,Gd,7.0,Typ,1.0,Attchd,Fin,2.0,470.0,Y,360.0,36.0,0.0,0.0,0.0,0.0,NoFence,0.0,6.0,2010.0,GroupedWD,Normal,5.291146761731886,Norm,False,False,VinylSd,TA_TA,TA_TA,12.0,12.0,12.0
120,RL,41.0,4920.0,Reg,Lvl,Inside,Gtl,StoneBr,TwnhsE,1Story,8,5,Gable,None,0.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,616.0,Unf,0.0,722.0,1338.0,Ex,Y,SBrkr,1338.0,0.0,0.0,1338.0,1.0,0.0,2.0,0.0,2.0,1.0,Gd,6.0,Typ,0.0,Attchd,Fin,2.0,582.0,Y,0.0,0.0,170.0,0.0,0.0,0.0,NoFence,0.0,4.0,2010.0,GroupedWD,Normal,5.329397879361043,Norm,False,False,CemntBd,TA_TA,Gd_TA,9.0,9.0,9.0
120,RL,43.0,5005.0,IR1,HLS,Inside,Gtl,StoneBr,TwnhsE,1Story,8,5,Gable,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,263.0,Unf,0.0,1017.0,1280.0,Ex,Y,SBrkr,1280.0,0.0,0.0,1280.0,0.0,0.0,2.0,0.0,2.0,1.0,Gd,5.0,Typ,0.0,Attchd,RFn,2.0,506.0,Y,0.0,82.0,0.0,0.0,144.0,0.0,NoFence,0.0,1.0,2010.0,GroupedWD,Normal,5.282168778304642,Norm,False,False,HdBoard,TA_TA,Gd_TA,18.0,18.0,18.0
120,RL,39.0,5389.0,IR1,Lvl,Inside,Gtl,StoneBr,TwnhsE,1Story,8,5,Gable,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1180.0,Unf,0.0,415.0,1595.0,Ex,Y,SBrkr,1616.0,0.0,0.0,1616.0,1.0,0.0,2.0,0.0,2.0,1.0,Gd,5.0,Typ,1.0,Attchd,RFn,2.0,608.0,Y,237.0,152.0,0.0,0.0,0.0,0.0,NoFence,0.0,3.0,2010.0,GroupedWD,Normal,5.37383114507383,Norm,False,False,CemntBd,TA_TA,Gd_TA,15.0,14.0,15.0
60,RL,60.0,7500.0,Reg,Lvl,Inside,Gtl,Gilbert,1Fam,2Story,7,5,Gable,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,994.0,994.0,Gd,Y,SBrkr,1028.0,776.0,0.0,1804.0,0.0,0.0,2.0,1.0,3.0,1.0,Gd,7.0,Typ,1.0,Attchd,Fin,2.0,442.0,Y,140.0,60.0,0.0,0.0,0.0,0.0,NoFence,0.0,6.0,2010.0,GroupedWD,Normal,5.276461804173244,Norm,False,False,VinylSd,TA_TA,TA_TA,11.0,11.0,11.0
